token,lemma_guess,tag,sentence,category
دستم,دست,N_SING_COM_PAFF_1,شب جمعه رفتیم تو سفارت و توی صحنه و پرده رو نیمه‌باز کردن که دستم رو یکی گرفت و گفت نمی‌خواد بخونی .,possessive
بزنم,بزن,V_SUB_POS_1,یک جایی من خودم را می‌آورم پایین‌تر از مخاطب ، برای این که حرفم را به او بزنم .,verbal
خوشحالم,خوشحال,V_PRE_ADJC_1,به‌هرحال در تاریخ سینمای ایران این‌چنین ثبت شده و من نیز از این قضیه خوشحالم ، اما این که پس از آن فرصت تکرار این تجربه فراهم نشد ، به تقدیر برمی‌گردد .,copular
گفتم,گفت,V_PA_SIM_POS_1,من قاطعانه به شما می‌گویم 99 درصد کسانی که دلار و کوپن و از این چیزها می‌فروشند از دور دستی در یکی از کارهای خلاف جامعه دارند ، و چون برمی‌گردیم به بافت اجتماعی‌مان ، همه اینها باز به آن تربیت برمی‌گردد ، به فرهنگ ؛ یعنی من هر چه را دیدم رسیده به فرهنگ و برای همین گفتم فرهنگ .,verbal
پذیرفتم,پذیرفت,V_PA_SIM_POS_1,قبلا بخشی از ذهنم را معضلات اجتماعی به خود مشغول کرده بود و یکی - دو تا طرح داستانی هم نوشته بودم که به مدیر گروه دادم و همین طرحهای داستانی باعث شد که گروه اجتماعی شبکه سه بگوید که این ژانر را مستند کار کن و من هم پذیرفتم و شروع به کار کردیم .,verbal
دستم,دست,N_SING_COM_PAFF_1,حرفش را بریدم که : از درکه وارد شدم سیگار دستم بود و زورم آمد سلام کنم .,possessive
شغلم,شغل,N_SING_COM_PAFF_1,» زمانی که خبرنگار نشریه « کاندیز » برای مصاحبه به خانه کوین می‌رود ، متوجه می‌شود که خانواده‌اش در مورد مصاحبه با او بحث زیادی داشته‌اند و او را از قبول مصاحبه منع کرده‌اند : « آنها همیشه در این مورد و این که من راجع‌به خودم و شغلم مصاحبه کنم ، با من بحث می‌کنند ، ولی من فکر می‌کنم که با این کار خودم را کوچک نکرده‌ام .,possessive
نظرم,نظر,N_SING_COM_PAFF_1,به نظرم آمد که این سریال سه ایراد عمده دارد : 1 - شخصیت‌پردازی آدمهای اصلی مجموعه که یک‌دست و روان نیست ؛ 2 - شوخی‌های بیش از اندازه این آدمها با هم ) به‌هرحال ما هم در محیطهایی جوانانه سالها کار کرده‌ایم و این جو را می‌شناسیم ، و این محیطها این‌گونه نیست که چند جوان به مجرد با هم بودن ، دائم با یکدیگر شوخی کنند ( .,possessive
بتوانم,بتوان,V_SUB_POS_1,اما در مونتاژ بیشترین ضرر را دادیم ؛ یعنی شاید بتوانم بگویم مونتاژ این برنامه هر قسمتش حدود سیصد هزار تومان برای ما تمام شد .,verbal
بدهم,بده,V_SUB_POS_1,یک جایی هم می‌گویم : مخاطب تو خودت باید بدوی ؛ تا کی من باید به این عقب‌ماندگی تو جواب مثبت بدهم ؟,verbal
فیلمم,فیلم,N_SING_COM_PAFF_1,برای مثال ، آخرین فیلمم « سوار بی‌سر » را هنگام ساخت فیلمی صامت در نظر گرفته بودم .,possessive
می‌کنم,می‌کن,V_PRS_POS_1,هر‌چه بیشتر کار می‌کنم ، به اهمیت تحقیق بیشتر پی می‌برم .,verbal
متاسفم,متاسف,V_PRE_ADJC_1,لی می‌گوید : « همیشه دوست داشتم با تلویزیون کار کنم و از این که تا قبل از این فرصت این همکاری فراهم نشد ، بسیار متاسفم .,copular
پدرم,پدر,N_SING_COM_PAFF_1,« پدرم هم مثل من خجالتی بود .,possessive
متنفرم,متنفر,V_PRE_ADJC_1,* من از مستندهایی که در مورد مسائل خانوادگی ساخته می‌شوند ، متنفرم .,copular
ندارم,ندار,V_PRS_NEG_1,شک ندارم که روزی فرا‌می‌رسد که همین افکار و راهکارها زمینه‌ای می‌شود برای تشکیل همان دژ مستحکم فرهنگی ، اما ترسی که دارم این است که بی‌توجهی باعث نابودی انگیزه شود .,verbal
سرم,سر,N_SING_COM_PAFF_1,و من ایستادم در باتلاق ، بین نیلوفران بلند ، و باران بر سرم فرو‌می‌چکید - و نیلوفرها همگی در شکوه فلاکت خود آه می‌کشیدند .,possessive
می‌کردم,می‌کرد,V_PA_PRG_POS_1,از هر کی می‌دیدیم می‌پرسیدیم چه حسی دارید ، می‌گفت کاشکی آن ور مصاحبه می‌کردم .,verbal
ببینم,ببین,V_SUB_POS_1,ببینم حسینی ، تو ... [ زیرچشمی به احمد می‌نگرد ، احمد سر به زیر دارد ] روزه‌ای ؟,verbal
نبرم,نبر,V_SUB_NEG_1,می‌گفتم من که هنر خواندم ، همیشه سعی می‌کنم مسائل تاوری را جوری به کار نبرم که معلوم باشد ؛ سعی می‌کنم پشتوانه کارم باشد .,verbal
