token,lemma_guess,tag,sentence,category
نظرم,نظر,N_SING_COM_PAFF_1,* به نظرم سودمند است ، چه به لحاظ آشنا شدن نویسنده با روند اجرای اثر که ممکن است برای نوشته‌های بعدی او مفید باشد ، چه به لحاظ جلوگیری از افسردگی پیش‌رس فیلمنامه‌نویسها !,possessive
پسرم,پسر,N_SING_COM_PAFF_1,- گوش کن پسرم !,possessive
ساعتم,ساعت,N_SING_COM_PAFF_1,صاحب مغازه : [ درحالی‌که به ساعت اشاره می‌کند ] ساعتم ، هفت و ... ساعت حدود ده دقیقه به زنگ را نشان می‌دهد .,possessive
نظرم,نظر,N_SING_COM_PAFF_1,به نظرم : [ ناگهان خودش را جمع‌و‌جور می‌کند و محکم‌تر از قبل جواب می‌دهد که ] اگه بگیم روزه‌ایم مثل این که داریم چیز ... ویا ... بله ... ریا می‌کنیم ، خانم .,possessive
ذهنم,ذهن,N_SING_COM_PAFF_1,قبلا بخشی از ذهنم را معضلات اجتماعی به خود مشغول کرده بود و یکی - دو تا طرح داستانی هم نوشته بودم که به مدیر گروه دادم و همین طرحهای داستانی باعث شد که گروه اجتماعی شبکه سه بگوید که این ژانر را مستند کار کن و من هم پذیرفتم و شروع به کار کردیم .,possessive
کارم,کار,N_SING_COM_PAFF_1,می‌گفتم من که هنر خواندم ، همیشه سعی می‌کنم مسائل تاوری را جوری به کار نبرم که معلوم باشد ؛ سعی می‌کنم پشتوانه کارم باشد .,possessive
نظرم,نظر,N_SING_COM_PAFF_1,به نظرم ، مطبوعات ، خود تلویزیون و دیگر رسانه‌ها وقتی برنامه‌ای راه جدیدی را شروع می‌کند ، فقط باید حمایتش کنند .,possessive
فکرم,فکر,N_SING_COM_PAFF_1,فکرم این بود که به این وسیله یک فضای خیلی دلگیر و وهم‌آلود به وجود بیاورم و این که انسان شایسته نیست در این فضا باشد .,possessive
ذهنم,ذهن,N_SING_COM_PAFF_1,# مظفر جعفرپناه از تهران # # تلویزیون بازاری : علیرضا افشاری ، فرزانه همتی # موضوعی که مدتهاست ذهنم را به خود مشغول کرده ، بی‌توجهی صداوسیما به وضعیت « تولید » در کشور است ، که این امر بویژه در سریال‌ها و برنامه‌های پخش‌شده از این رسانه بشدت نمود دارد .,possessive
نظرم,نظر,N_SING_COM_PAFF_1,به نظرم آمد که این سریال سه ایراد عمده دارد : 1 - شخصیت‌پردازی آدمهای اصلی مجموعه که یک‌دست و روان نیست ؛ 2 - شوخی‌های بیش از اندازه این آدمها با هم ) به‌هرحال ما هم در محیطهایی جوانانه سالها کار کرده‌ایم و این جو را می‌شناسیم ، و این محیطها این‌گونه نیست که چند جوان به مجرد با هم بودن ، دائم با یکدیگر شوخی کنند ( .,possessive
